,,ANGER,FEAR,SADNESS,JOY,DISGUST,TRUST,SURPRISE,ANTICIPATION,POSITIVE,NEGATIVE
VB,clap,0,0,0,1,0,0,1,0,1,0
VB,clash,1,0,0,0,0,0,0,0,0,1
VB,claw,1,1,0,0,0,0,0,0,0,1
VB,clean,0,0,0,0,0,0,0,0,0,0
VB,cleave,0,0,0,0,0,0,0,0,0,0
VB,climax,0,0,0,1,0,1,1,1,1,0
VB,clock,0,0,0,0,0,0,0,1,0,0
VB,closure,0,0,0,0,0,0,0,1,0,0
VB,cloud,0,0,0,0,0,0,0,0,0,0
VB,clown,0,0,0,1,0,0,1,1,1,0
VB,clue,0,0,0,0,0,0,0,0,0,0
VB,coach,0,0,0,0,0,0,0,0,0,0
VB,coalesce,0,0,0,0,0,0,0,0,0,0
VB,coax,0,0,0,0,0,0,0,0,0,0
VB,coerce,1,1,0,0,1,0,0,0,0,1
VB,coexist,0,0,0,0,0,1,0,0,1,0
VB,coffin,0,1,1,0,0,0,0,0,0,1
VB,collapse,0,1,1,0,1,0,0,0,0,1
VB,combat,1,1,0,0,0,0,0,0,0,1
VB,come,0,0,0,0,0,0,0,0,0,0
VB,comfort,0,0,0,1,0,1,0,1,1,0
VB,command,0,0,0,0,0,0,0,0,0,0
VB,commemorate,0,0,0,0,0,0,0,1,0,0
VB,commission,0,0,0,0,0,0,0,0,0,0
VB,commit,0,0,0,0,1,0,0,0,0,1
VB,communicate,0,0,0,0,0,0,0,0,0,0
VB,compact,0,0,0,0,0,0,0,0,0,0
VB,companion,0,0,0,0,0,1,0,0,1,0
VB,compass,0,0,0,0,0,0,0,0,0,0
VB,compensate,0,0,0,0,0,0,0,1,0,0
VB,complain,1,0,1,0,0,0,0,0,0,1
VB,complement,0,0,0,0,0,0,0,0,0,0
VB,complete,0,0,0,0,0,0,0,0,0,0
VB,complicate,1,0,0,0,0,0,0,0,0,1
VB,compliment,0,0,0,1,0,0,1,0,1,0
VB,compost,0,0,0,0,0,0,0,0,0,0
VB,compress,0,0,0,0,0,0,0,0,0,0
VB,conceal,0,0,0,0,0,0,0,0,0,0
VB,concern,0,0,0,0,0,0,0,0,0,0
VB,concord,0,0,0,0,0,1,0,0,1,0
VB,condemn,1,0,0,0,0,0,0,0,0,1
VB,confederate,0,0,0,0,0,1,0,0,1,0
VB,confess,0,1,1,0,0,0,0,0,0,1
VB,confide,0,0,0,0,0,1,0,0,1,0
VB,confine,1,1,1,0,0,0,0,0,0,1
VB,confirm,0,0,0,0,0,1,0,0,1,0
VB,confiscate,1,0,1,0,0,0,0,0,0,1
VB,conflict,1,0,0,0,0,0,0,0,0,1
VB,confront,1,0,0,0,0,0,0,0,0,1
VB,conglomerate,0,0,0,0,0,0,0,0,0,0
VB,conjecture,0,0,0,0,0,0,0,1,0,0
VB,conjure,0,0,0,0,0,0,1,0,0,0
VB,console,0,0,1,0,0,0,0,0,0,1
VB,consort,0,0,0,0,0,1,0,0,1,0
VB,conspire,0,0,0,0,1,0,0,0,0,1
VB,constitute,0,0,0,0,0,0,0,0,0,0
VB,constrain,0,1,0,0,0,0,0,0,0,1
VB,consult,0,0,0,0,0,1,0,0,1,0
VB,contaminate,0,0,0,0,1,0,0,0,0,1
VB,content,0,0,0,1,0,0,0,0,1,0
VB,continue,0,0,0,0,0,0,0,1,0,0
VB,contradict,1,0,0,0,0,0,0,0,0,1
VB,convict,0,1,1,0,1,0,0,0,0,1
VB,convince,0,0,0,0,0,0,0,1,0,0
VB,cooperating,0,0,0,0,0,1,0,0,1,0
VB,cop,0,0,0,0,0,0,0,0,0,0
VB,corroborate,0,0,0,0,0,1,0,0,1,0
VB,corrupt,0,0,0,0,1,0,0,0,0,1
VB,couch,0,0,0,0,0,0,0,0,0,0
VB,cough,0,0,0,0,0,0,0,0,0,0
VB,counsel,0,0,0,0,0,0,0,0,0,0
VB,count,0,0,0,0,0,0,0,0,0,0
VB,court,0,0,0,0,0,0,0,0,0,0
VB,covenant,0,0,0,0,0,1,0,0,1,0
VB,cover,0,0,0,0,0,0,0,0,0,0
VB,crack,0,0,0,0,0,0,0,0,0,0
VB,cradle,0,0,0,0,0,0,0,0,0,0
VB,cramp,0,0,0,0,0,0,0,0,0,0
VB,crap,0,0,0,0,1,0,0,0,0,1
VB,crash,0,1,1,0,0,0,1,0,0,1
VB,crave,0,0,0,0,0,0,0,1,0,0
VB,crawl,0,0,0,0,0,0,0,0,0,0
VB,craze,1,1,0,0,0,0,0,0,0,1
VB,cream,0,0,0,0,0,0,0,0,0,0
VB,create,0,0,0,0,0,0,0,0,0,0
VB,credit,0,0,0,0,0,1,0,0,1,0
VB,creep,0,0,0,0,0,0,0,0,0,0
VB,crescendo,0,0,0,0,0,0,0,0,0,0
VB,crew,0,0,0,0,0,0,0,0,0,0
VB,cringe,0,1,1,0,1,0,0,0,0,1
VB,cripple,0,1,1,0,0,0,0,0,0,1
VB,crisp,0,0,0,0,0,0,0,0,0,0
VB,criticize,1,0,1,0,1,0,0,0,0,1
VB,cross,0,0,0,0,0,0,0,0,0,0
VB,crouch,0,0,0,0,0,0,0,0,0,0
VB,crown,0,0,0,1,0,1,1,0,1,0
VB,crumble,0,0,1,0,0,0,0,0,0,1
VB,crunch,0,0,0,0,0,0,0,0,0,0
VB,crusade,1,1,0,0,0,0,0,0,0,1
VB,crush,1,0,0,0,1,0,0,0,0,1
VB,cry,0,0,1,0,0,0,0,0,0,1
VB,cube,0,0,0,0,0,0,0,0,0,0
VB,cuckold,0,0,0,0,1,0,0,0,0,1
VB,cuddle,0,0,0,1,0,1,0,0,1,0
VB,cue,0,0,0,0,0,0,0,1,0,0
VB,cultivate,0,0,0,0,0,0,0,1,0,0
VB,cup,0,0,0,0,0,0,0,0,0,0
VB,curse,1,0,1,0,1,0,0,0,0,1
VB,cuss,1,0,0,0,0,0,0,0,0,1
VB,cut,0,0,0,0,0,0,0,0,0,0
VB,dabble,0,0,0,0,0,0,0,0,0,0
VB,damage,1,0,1,0,1,0,0,0,0,1
VB,damn,1,0,0,0,1,0,0,0,0,1
VB,dance,0,0,0,1,0,0,0,0,1,0
VB,dare,0,0,0,0,0,1,0,1,1,0
VB,darken,0,0,0,0,0,0,0,0,0,0
VB,dart,0,0,0,0,0,0,0,0,0,0
VB,dash,0,0,0,0,0,0,0,0,0,0
VB,dawn,0,0,0,0,0,0,0,0,0,0
VB,deal,0,0,0,0,0,0,0,0,0,0
VB,decay,0,0,1,0,1,0,0,0,0,1
VB,decease,0,0,1,0,0,0,0,0,0,1
VB,deceive,1,0,1,0,1,0,0,0,0,1
VB,decompose,0,0,0,0,0,0,0,0,0,0
VB,decoy,0,0,0,0,0,0,1,0,0,0
VB,decry,1,0,0,0,0,0,0,0,0,1
VB,default,0,0,0,0,0,0,0,0,0,0
VB,defeat,0,0,0,1,0,0,0,0,1,0
VB,defect,0,0,0,0,1,0,0,0,0,1
VB,defend,0,0,0,0,0,1,0,0,1,0
VB,deflate,0,0,0,0,0,0,0,0,0,0
VB,deform,0,0,0,0,0,0,0,0,0,0
VB,defraud,0,0,0,0,1,0,0,0,0,1
VB,defy,1,1,1,0,0,0,0,0,0,1
VB,degrade,0,0,0,0,1,0,0,0,0,1
VB,delay,0,0,1,0,1,0,0,0,0,1
VB,delegate,0,0,0,0,0,1,0,0,1,0
VB,delight,0,0,0,1,0,0,0,1,1,0
VB,deluge,0,1,1,0,0,0,1,0,0,1
VB,demand,1,0,0,0,0,0,0,0,0,1
VB,demise,0,0,0,0,0,0,0,0,0,0
VB,demolish,1,0,1,0,0,0,0,0,0,1
VB,demoralize,0,1,1,0,0,0,0,0,0,1
VB,denounce,1,0,0,0,1,0,0,0,0,1
VB,deny,1,0,0,0,0,0,0,0,0,1
VB,depart,0,0,0,0,0,0,0,0,0,0
VB,depend,0,0,0,0,0,0,0,0,0,0
VB,deplore,1,0,1,0,1,0,0,0,0,1
VB,deport,0,0,0,0,0,0,0,0,0,0
VB,deprave,0,0,1,0,1,0,0,0,0,1
VB,depreciate,1,0,0,0,1,0,0,0,0,1
VB,depress,0,1,1,0,0,0,0,0,0,1
VB,derange,1,1,0,0,1,0,0,0,0,1
VB,desert,1,1,1,0,1,0,0,0,0,1
VB,deserve,0,0,0,0,0,1,0,1,1,0
VB,desist,0,0,0,0,1,0,0,0,0,1
VB,despair,0,0,1,0,0,0,0,0,0,1
VB,despise,1,0,0,0,1,0,0,0,0,1
VB,destine,0,0,0,0,0,0,0,1,0,0
VB,destroy,1,1,1,0,0,0,0,0,0,1
VB,deteriorate,0,0,1,0,1,0,0,0,0,1
VB,detest,1,0,0,0,1,0,0,0,0,1
VB,detonate,0,1,0,0,0,0,1,0,0,1
VB,detract,0,0,0,0,0,0,0,0,0,0
VB,devastate,1,1,1,0,0,0,0,0,0,1
VB,devastating,1,1,1,0,1,0,0,0,0,1
VB,develop,0,0,0,0,0,0,0,1,0,0
VB,devil,1,1,1,0,1,0,0,0,0,1
VB,die,0,1,1,0,0,0,0,0,0,1
VB,digress,0,0,0,0,0,0,0,0,0,0
VB,dike,0,0,0,0,0,0,0,0,0,0
VB,dilapidate,0,0,1,0,1,0,0,0,0,1
VB,diminish,0,0,0,0,0,0,0,0,0,0
VB,dirty,0,0,0,0,1,0,0,0,0,1
VB,disable,0,0,0,0,0,0,0,0,0,0
VB,disagree,1,0,0,0,0,0,0,0,0,1
VB,disallow,1,0,0,0,1,0,0,0,0,1
VB,disappear,0,1,0,0,0,0,0,0,0,1
VB,disappoint,1,0,1,0,1,0,0,0,0,1
VB,disapprove,1,0,1,0,1,0,0,0,0,1
VB,discipline,0,0,0,0,0,0,0,0,0,0
VB,disclaim,0,0,0,0,0,0,0,0,0,0
VB,disclose,0,0,0,0,0,0,0,0,0,0
VB,discolor,0,0,0,0,0,0,0,0,0,0
VB,disconnect,0,0,0,0,0,0,0,0,0,0
VB,discontent,1,0,1,0,1,0,0,0,0,1
VB,discord,1,0,0,0,1,0,0,0,0,1
VB,discourage,0,0,1,0,0,0,0,0,0,1
VB,discriminate,0,0,0,0,0,0,0,0,0,0
VB,disdain,1,0,0,0,1,0,0,0,0,1
VB,disembody,0,1,1,0,0,0,0,0,0,1
VB,disfigure,0,0,1,0,1,0,0,0,0,1
VB,disgrace,1,0,1,0,1,0,0,0,0,1
VB,disgruntle,1,0,1,0,1,0,0,0,0,1
VB,disgust,0,0,0,0,1,0,0,0,0,1
VB,dishearten,0,0,1,0,0,0,0,0,0,1
VB,dishonor,1,0,1,0,1,0,0,0,0,1
VB,disintegrate,0,0,0,0,0,0,0,0,0,0
VB,dislike,1,0,0,0,1,0,0,0,0,1
VB,dislocate,0,0,0,0,0,0,0,0,0,0
VB,dismay,1,1,1,0,0,0,0,0,0,1
VB,disobey,1,0,0,0,1,0,0,0,0,1
VB,disorder,0,1,0,0,0,0,0,0,0,1
VB,disparage,1,0,1,0,1,0,0,0,0,1
VB,dispel,0,0,1,0,0,0,0,0,0,1
VB,displace,0,0,0,0,0,0,0,0,0,0
VB,displease,1,0,1,0,1,0,0,0,0,1
VB,dispose,0,0,0,0,0,0,0,0,0,0
VB,dispossess,0,0,0,0,0,0,0,0,0,0
VB,dispute,1,0,0,0,0,0,0,0,0,1
VB,disqualify,0,0,0,0,0,0,0,0,0,0
VB,disregard,0,0,0,0,1,0,0,0,0,1
VB,disrespect,1,0,0,0,0,0,0,0,0,1
VB,distort,0,0,0,0,1,0,0,0,0,1
VB,distract,0,0,0,0,0,0,0,0,0,0
VB,distress,1,1,1,0,1,0,0,0,0,1
VB,distrust,0,0,0,0,1,0,0,0,0,1
VB,disturb,1,0,1,0,0,0,0,0,0,1
VB,divorce,1,1,1,0,1,0,0,0,0,1
VB,doctor,0,0,0,0,0,0,0,0,0,0
VB,dominate,0,0,0,0,0,0,0,0,0,0
VB,don,0,0,0,0,0,0,0,0,0,0
VB,doom,0,1,1,0,0,0,0,0,0,1
VB,doubt,0,0,0,0,0,0,0,0,0,0
VB,dove,0,0,0,0,0,0,0,0,0,0
VB,draft,0,0,0,0,0,0,0,0,0,0
VB,dread,0,1,0,0,0,0,0,1,0,1
VB,drivel,0,0,0,0,1,0,0,0,0,1
VB,drool,0,0,0,1,0,0,0,0,1,0
VB,drown,0,0,0,0,0,0,0,0,0,0
VB,drug,0,0,1,0,0,0,0,0,0,1
VB,duel,1,1,0,0,0,0,0,0,0,1
VB,dull,0,0,1,0,0,0,0,0,0,1
VB,dumps,1,0,1,0,0,0,0,0,0,1
VB,dung,0,0,0,0,0,0,0,0,0,0
VB,dupe,1,0,0,0,0,0,0,0,0,1
VB,dwarfed,0,0,0,0,0,0,0,0,0,0
VB,eagle,0,0,0,0,0,0,0,0,0,0
VB,elate,0,0,0,1,0,0,0,0,1,0
VB,elbow,1,0,0,0,0,0,0,0,0,1
VB,elect,0,0,0,0,0,0,0,0,0,0
VB,elucidate,0,0,0,0,0,1,0,0,1,0
VB,emaciate,0,0,1,0,0,0,0,0,0,1
VB,embarrass,0,0,1,0,0,0,0,0,0,1
VB,embrace,0,0,0,0,0,0,0,0,0,0
VB,emphasize,0,0,0,0,0,0,0,0,0,0
VB,employ,0,0,0,0,0,0,0,0,0,0
VB,enable,0,0,0,0,0,1,0,0,1,0
VB,enchant,0,0,0,1,0,0,1,0,1,0
VB,encourage,0,0,0,1,0,1,0,0,1,0
VB,endanger,0,1,0,0,0,0,0,1,0,1
VB,endeavor,0,0,0,0,0,0,0,1,0,0
VB,endow,0,0,0,0,0,1,0,0,1,0
VB,enforce,1,1,0,0,0,0,0,0,0,1
VB,engage,0,0,0,0,0,0,0,1,0,0
VB,engulf,0,0,0,0,0,0,0,0,0,0
VB,enjoy,0,0,0,1,0,0,0,1,1,0
VB,enlighten,0,0,0,1,0,1,0,0,1,0
VB,enliven,0,0,0,1,0,1,1,0,1,0
VB,enroll,0,0,0,0,0,0,0,1,0,0
VB,enslave,1,1,1,0,1,0,0,0,0,1
VB,entangle,1,1,1,0,1,0,0,0,0,1
VB,entertain,0,0,0,1,0,0,0,0,1,0
VB,entrust,0,0,0,0,0,1,0,0,1,0
VB,eradicate,1,0,0,0,0,0,0,0,0,1
VB,erase,0,0,0,0,0,0,0,0,0,0
VB,erupt,1,0,0,0,0,0,1,0,0,1
VB,escalate,0,0,0,0,0,0,0,0,0,0
VB,escape,0,1,0,0,0,0,0,1,0,1
VB,eschew,0,1,0,0,0,0,0,0,0,1
VB,escort,0,0,0,0,0,1,0,0,1,0
VB,establish,0,0,0,0,0,0,0,0,0,0
VB,esteem,0,0,0,1,0,1,0,0,1,0
VB,evacuate,0,1,0,0,0,0,0,0,0,1
VB,evade,0,0,0,0,0,0,0,0,0,0
VB,evict,0,0,1,0,0,0,0,0,0,1
VB,exaggerate,0,0,0,0,0,0,0,0,0,0
VB,exalt,0,0,0,1,0,1,0,0,1,0
VB,exceed,0,0,0,0,0,0,0,0,0,0
VB,excel,0,0,0,1,0,1,1,1,1,0
VB,exchange,0,0,0,0,0,0,0,0,0,0
VB,excite,0,0,0,1,0,0,1,0,1,0
VB,exclaim,0,0,0,0,0,0,1,0,0,0
VB,exclude,0,0,0,0,0,0,0,0,0,0
VB,excruciate,0,1,0,0,0,0,0,0,0,1
VB,exhaust,0,0,1,0,0,0,0,0,0,1
VB,exile,1,1,1,0,0,0,0,0,0,1
VB,expect,0,0,0,0,0,0,0,1,0,0
VB,expel,1,1,1,0,1,0,0,0,0,1
VB,experience,0,0,0,0,0,1,0,0,1,0
VB,experiment,0,0,0,0,0,0,0,1,0,0
