,POSITIVE,NEGATIVE,ANGER,ANTICIPATION,DISGUST,FEAR,JOY,SADNESS,SURPRISE,TRUST,,,,,,,,,,,,,,,,,,,
accurse,0,1,0,0,1,1,0,0,0,0,,,,,,,,,,,,,disgust|fear,,disgust,fear,,,
accursed,0,1,0,0,1,1,0,0,0,0,,,,,,,,,,,,,disgust|fear,,disgust,fear,,,
accusation,0,1,1,0,1,0,0,0,0,0,,,,,,,,,,,,,anger|disgust,,anger,disgust,,,
accuse,0,1,1,0,1,1,0,0,0,0,,,,,,,,,,,,,anger|disgust|fear,,anger,disgust,fear,,
accused,0,1,1,0,1,1,0,0,0,0,,,,,,,,,,,,,anger|disgust|fear,,anger,disgust,fear,,
accuser,0,1,1,0,1,1,0,0,0,0,,,,,,,,,,,,,anger|disgust|fear,,anger,disgust,fear,,
accusing,0,1,1,0,1,1,0,0,0,0,,,,,,,,,,,,,anger|disgust|fear,,anger,disgust,fear,,
ache,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,sadness,,sadness,,,,
achieve,1,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,joy|trust,,joy,trust,,,
achievement,1,0,0,1,0,0,1,0,0,1,,,,,,,,,,,,,anticipation|joy|trust,,anticipation,joy,trust,,
aching,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,sadness,,sadness,,,,
acquire,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,anticipation,,anticipation,,,,
acquiring,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,anticipation,,anticipation,,,,
actionable,0,1,1,0,1,0,0,0,0,0,,,,,,,,,,,,,anger|disgust,,anger,disgust,,,
adhere,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
admirable,1,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,joy|trust,,joy,trust,,,
admiration,1,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,joy|trust,,joy,trust,,,
admire,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
admissible,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
admonition,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,fear,,fear,,,,
adorable,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,joy,,joy,,,,
adoration,1,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,joy|trust,,joy,trust,,,
adore,1,0,0,1,0,0,1,0,0,1,,,,,,,,,,,,,anticipation|joy|trust,,anticipation,joy,trust,,
adrift,0,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,anticipation|fear|sadness,,anticipation,fear,sadness,,
adultery,0,1,0,0,1,0,0,1,0,0,,,,,,,,,,,,,disgust|sadness,,disgust,sadness,,,
advance,1,1,0,1,0,1,1,0,1,0,,,,,,,,,,,,,anticipation|fear|joy|surprise,,anticipation,fear,joy,surprise,
advent,1,0,0,1,0,0,1,0,0,0,,,,,,,,,,,,,anticipation|joy,,anticipation,joy,,,
adventure,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,anticipation,,anticipation,,,,
adversary,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,anger,,anger,,,,
adverse,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,disgust,,disgust,,,,
adversity,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,disgust,,disgust,,,,
advocacy,1,1,1,1,0,0,1,0,0,1,,,,,,,,,,,,,anger|anticipation|joy|trust,,anger,anticipation,joy,trust,
affection,1,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,joy|trust,,joy,trust,,,
affirm,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
affirmatively,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
afflict,0,1,0,0,1,0,0,1,0,0,,,,,,,,,,,,,disgust|sadness,,disgust,sadness,,,
affliction,0,1,0,0,1,0,0,1,0,0,,,,,,,,,,,,,disgust|sadness,,disgust,sadness,,,
affluence,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,joy,,joy,,,,
affront,0,1,1,0,1,1,0,1,0,0,,,,,,,,,,,,,anger|disgust|fear|sadness,,anger,disgust,fear,sadness,
afraid,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,fear,,fear,,,,
aftermath,0,1,1,0,1,1,0,1,0,0,,,,,,,,,,,,,anger|disgust|fear|sadness,,anger,disgust,fear,sadness,
aggravate,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,anger,,anger,,,,
aggravated,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,anger,,anger,,,,
aggravating,0,1,1,0,0,0,0,1,0,0,,,,,,,,,,,,,anger|sadness,,anger,sadness,,,
aggravation,0,1,1,0,1,0,0,0,0,0,,,,,,,,,,,,,anger|disgust,,anger,disgust,,,
aggression,0,1,1,0,0,1,0,0,0,0,,,,,,,,,,,,,anger|fear,,anger,fear,,,
aggressive,0,1,1,0,0,1,0,0,0,0,,,,,,,,,,,,,anger|fear,,anger,fear,,,
aggressor,0,1,1,0,0,1,0,0,0,0,,,,,,,,,,,,,anger|fear,,anger,fear,,,
aghast,0,1,0,0,1,1,0,0,1,0,,,,,,,,,,,,,disgust|fear|surprise,,disgust,fear,surprise,,
agitate,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,anger,,anger,,,,
agitated,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,anger,,anger,,,,
agitation,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,anger,,anger,,,,
agonize,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,fear,,fear,,,,
agonizing,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,fear,,fear,,,,
agony,0,1,1,0,1,1,0,1,0,0,,,,,,,,,,,,,anger|disgust|fear|sadness,,anger,disgust,fear,sadness,
ail,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,sadness,,sadness,,,,
ailing,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,sadness,,sadness,,,,
airs,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,disgust,,disgust,,,,
alarm,0,1,0,0,0,1,0,0,1,0,,,,,,,,,,,,,fear|surprise,,fear,surprise,,,
alarming,0,1,0,0,0,1,0,0,1,0,,,,,,,,,,,,,fear|surprise,,fear,surprise,,,
alcoholism,0,1,1,0,1,1,0,1,0,0,,,,,,,,,,,,,anger|disgust|fear|sadness,,anger,disgust,fear,sadness,
alert,0,1,0,1,0,1,0,0,1,0,,,,,,,,,,,,,anticipation|fear|surprise,,anticipation,fear,surprise,,
alertness,0,1,0,1,0,1,0,0,1,0,,,,,,,,,,,,,anticipation|fear|surprise,,anticipation,fear,surprise,,
alerts,0,1,0,1,0,1,0,0,1,0,,,,,,,,,,,,,anticipation|fear|surprise,,anticipation,fear,surprise,,
alien,0,1,0,0,1,1,0,0,0,0,,,,,,,,,,,,,disgust|fear,,disgust,fear,,,
alienate,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,disgust,,disgust,,,,
alienated,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,sadness,,sadness,,,,
alienation,0,1,1,0,1,1,0,1,0,0,,,,,,,,,,,,,anger|disgust|fear|sadness,,anger,disgust,fear,sadness,
alive,1,0,0,1,0,0,1,0,0,0,,,,,,,,,,,,,anticipation|joy,,anticipation,joy,,,
allegation,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,anger,,anger,,,,
alliance,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
allied,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
allure,1,0,0,1,0,0,1,0,1,0,,,,,,,,,,,,,anticipation|joy|surprise,,anticipation,joy,surprise,,
ally,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
aloha,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,anticipation,,anticipation,,,,
altercation,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,anger,,anger,,,,
amaze,1,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,joy|surprise,,joy,surprise,,,
amazingly,1,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,joy|surprise,,joy,surprise,,,
ambition,1,0,0,1,0,0,1,0,0,0,,,,,,,,,,,,,anticipation|joy,,anticipation,joy,,,
ambush,0,1,1,0,0,1,0,0,1,0,,,,,,,,,,,,,anger|fear|surprise,,anger,fear,surprise,,
amen,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
amicable,1,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,joy|trust,,joy,trust,,,
amnesty,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,joy,,joy,,,,
amour,1,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,joy|trust,,joy,trust,,,
amuse,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,joy,,joy,,,,
amused,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,joy,,joy,,,,
amusement,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,joy,,joy,,,,
amusing,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,joy,,joy,,,,
anarchism,0,1,1,0,0,1,0,0,0,0,,,,,,,,,,,,,anger|fear,,anger,fear,,,
anarchist,0,1,1,0,0,1,0,0,0,0,,,,,,,,,,,,,anger|fear,,anger,fear,,,
anarchy,0,1,1,0,0,1,0,0,0,0,,,,,,,,,,,,,anger|fear,,anger,fear,,,
anathema,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,disgust,,disgust,,,,
anchorage,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
angel,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
angelic,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
anger,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,anger,,anger,,,,
angry,0,1,1,0,1,0,0,0,0,0,,,,,,,,,,,,,anger|disgust,,anger,disgust,,,
anguish,0,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,anger|fear|sadness,,anger,fear,sadness,,
animate,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,joy,,joy,,,,
animated,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,joy,,joy,,,,
animosity,0,1,1,0,1,1,0,1,0,0,,,,,,,,,,,,,anger|disgust|fear|sadness,,anger,disgust,fear,sadness,
animus,0,1,1,0,1,1,0,1,0,0,,,,,,,,,,,,,anger|disgust|fear|sadness,,anger,disgust,fear,sadness,
annihilate,0,1,1,0,0,1,0,0,0,0,,,,,,,,,,,,,anger|fear,,anger,fear,,,
annihilated,0,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,anger|fear|sadness,,anger,fear,sadness,,
annihilation,0,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,anger|fear|sadness,,anger,fear,sadness,,
annoy,0,1,1,0,1,0,0,0,0,0,,,,,,,,,,,,,anger|disgust,,anger,disgust,,,
annoyance,0,1,1,0,1,0,0,0,0,0,,,,,,,,,,,,,anger|disgust,,anger,disgust,,,
annoying,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,anger,,anger,,,,
annulment,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,sadness,,sadness,,,,
anomaly,0,1,0,0,0,1,0,0,1,0,,,,,,,,,,,,,fear|surprise,,fear,surprise,,,
antagonism,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,anger,,anger,,,,
antagonist,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,anger,,anger,,,,
antagonistic,0,1,1,0,1,0,0,0,0,0,,,,,,,,,,,,,anger|disgust,,anger,disgust,,,
antichrist,0,1,1,0,1,1,0,0,0,0,,,,,,,,,,,,,anger|disgust|fear,,anger,disgust,fear,,
anticipation,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,anticipation,,anticipation,,,,
anticipatory,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,anticipation,,anticipation,,,,
antipathy,0,1,1,0,1,0,0,0,0,0,,,,,,,,,,,,,anger|disgust,,anger,disgust,,,
antisocial,0,1,1,0,1,1,0,1,0,0,,,,,,,,,,,,,anger|disgust|fear|sadness,,anger,disgust,fear,sadness,
anxiety,0,1,1,1,0,1,0,1,0,0,,,,,,,,,,,,,anger|anticipation|fear|sadness,,anger,anticipation,fear,sadness,
anxious,0,1,1,1,0,1,0,1,0,0,,,,,,,,,,,,,anger|anticipation|fear|sadness,,anger,anticipation,fear,sadness,
apache,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,fear,,fear,,,,
apologetic,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
apologize,1,1,0,0,0,0,0,1,0,1,,,,,,,,,,,,,sadness|trust,,sadness,trust,,,
appal,0,1,0,0,1,1,0,0,0,0,,,,,,,,,,,,,disgust|fear,,disgust,fear,,,
appalling,0,1,0,0,1,1,0,0,0,0,,,,,,,,,,,,,disgust|fear,,disgust,fear,,,
apparition,0,1,0,0,0,1,0,0,1,0,,,,,,,,,,,,,fear|surprise,,fear,surprise,,,
applause,1,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,joy|surprise,,joy,surprise,,,
appreciation,1,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,joy|trust,,joy,trust,,,
apprehend,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,fear,,fear,,,,
apprehension,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,fear,,fear,,,,
apprehensive,0,1,0,1,0,1,0,0,0,0,,,,,,,,,,,,,anticipation|fear,,anticipation,fear,,,
approaching,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,anticipation,,anticipation,,,,
approbation,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
approve,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
arbitration,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,anticipation,,anticipation,,,,
ardent,1,0,0,1,0,0,1,0,0,0,,,,,,,,,,,,,anticipation|joy,,anticipation,joy,,,
argue,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,anger,,anger,,,,
argument,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,anger,,anger,,,,
argumentation,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,anger,,anger,,,,
arid,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,sadness,,sadness,,,,
armed,0,1,1,0,0,1,0,0,0,0,,,,,,,,,,,,,anger|fear,,anger,fear,,,
armory,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
arouse,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,anticipation,,anticipation,,,,
arraignment,0,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,anger|fear|sadness,,anger,fear,sadness,,
arrogant,0,1,1,0,1,0,0,0,0,0,,,,,,,,,,,,,anger|disgust,,anger,disgust,,,
arson,0,1,1,0,0,1,0,0,0,0,,,,,,,,,,,,,anger|fear,,anger,fear,,,
ash,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,sadness,,sadness,,,,
ashamed,0,1,0,0,1,0,0,1,0,0,,,,,,,,,,,,,disgust|sadness,,disgust,sadness,,,
aspiration,1,0,0,1,0,0,1,0,1,1,,,,,,,,,,,,,anticipation|joy|surprise|trust,,anticipation,joy,surprise,trust,
aspire,1,0,0,1,0,0,1,0,0,0,,,,,,,,,,,,,anticipation|joy,,anticipation,joy,,,
aspiring,1,0,0,1,0,0,1,0,0,1,,,,,,,,,,,,,anticipation|joy|trust,,anticipation,joy,trust,,
assail,0,1,1,0,0,1,0,0,1,0,,,,,,,,,,,,,anger|fear|surprise,,anger,fear,surprise,,
assailant,0,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,anger|fear|sadness,,anger,fear,sadness,,
assassin,0,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,anger|fear|sadness,,anger,fear,sadness,,
assassinate,0,1,1,0,0,1,0,0,0,0,,,,,,,,,,,,,anger|fear,,anger,fear,,,
assassination,0,1,1,0,0,1,0,1,0,0,,,,,,,,,,,,,anger|fear|sadness,,anger,fear,sadness,,
assault,0,1,1,0,0,1,0,0,0,0,,,,,,,,,,,,,anger|fear,,anger,fear,,,
assert,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
asserting,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
assessment,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
asshole,0,1,1,0,1,0,0,0,0,0,,,,,,,,,,,,,anger|disgust,,anger,disgust,,,
assist,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
assurance,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
assure,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
assured,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
assuredly,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
astonishingly,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,surprise,,surprise,,,,
astonishment,1,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,joy|surprise,,joy,surprise,,,
astray,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,fear,,fear,,,,
asylum,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,fear,,fear,,,,
atone,1,0,0,1,0,0,1,0,0,1,,,,,,,,,,,,,anticipation|joy|trust,,anticipation,joy,trust,,
atrocious,0,1,1,0,1,0,0,0,0,0,,,,,,,,,,,,,anger|disgust,,anger,disgust,,,
atrocity,0,1,1,0,1,1,0,1,0,0,,,,,,,,,,,,,anger|disgust|fear|sadness,,anger,disgust,fear,sadness,
atrophy,0,1,0,0,1,0,0,1,0,0,,,,,,,,,,,,,disgust|sadness,,disgust,sadness,,,
attack,0,1,1,0,0,1,0,0,0,0,,,,,,,,,,,,,anger|fear,,anger,fear,,,
attacking,0,1,1,0,1,1,0,1,0,0,,,,,,,,,,,,,anger|disgust|fear|sadness|surprise,,anger,disgust,fear,sadness,surprise
attainable,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,anticipation,,anticipation,,,,
attempt,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,anticipation,,anticipation,,,,
attentive,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
attenuation,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,sadness,,sadness,,,,
attest,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
attestation,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
auspicious,1,0,0,1,0,0,1,0,0,0,,,,,,,,,,,,,anticipation|joy,,anticipation,joy,,,
austere,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,sadness,,sadness,,,,
authentic,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
authenticate,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
authentication,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
authenticity,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
authority,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
authorization,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
authorize,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
avarice,0,1,1,0,1,0,0,0,0,0,,,,,,,,,,,,,anger|disgust,,anger,disgust,,,
avenger,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,anger,,anger,,,,
averse,0,1,1,0,1,1,0,0,0,0,,,,,,,,,,,,,anger|disgust|fear,,anger,disgust,fear,,
aversion,0,1,1,0,1,1,0,0,0,0,,,,,,,,,,,,,anger|disgust|fear,,anger,disgust,fear,,
await,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,anticipation,,anticipation,,,,
award,1,0,0,1,0,0,1,0,1,0,,,,,,,,,,,,,anticipation|joy|surprise,,anticipation,joy,surprise,,
awful,0,1,1,0,1,1,0,1,0,0,,,,,,,,,,,,,anger|disgust|fear|sadness,,anger,disgust,fear,sadness,
awkwardness,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,disgust,,disgust,,,,
axiom,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
axiomatic,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
baby,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,joy,,joy,,,,
bad,0,1,0,0,1,0,0,1,0,0,,,,,,,,,,,,,disgust|sadness,,disgust,sadness,,,
badger,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,disgust,,disgust,,,,
badness,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,disgust,,disgust,,,,
bait,0,1,0,0,1,1,0,0,0,0,,,,,,,,,,,,,disgust|fear,,disgust,fear,,,
bane,0,1,0,0,1,1,0,0,0,0,,,,,,,,,,,,,disgust|fear,,disgust,fear,,,
bang,0,1,1,0,1,1,0,1,0,0,,,,,,,,,,,,,anger|disgust|fear|sadness|surprise,,anger,disgust,fear,sadness,surprise
banish,0,1,0,0,1,1,0,1,0,0,,,,,,,,,,,,,disgust|fear|sadness,,disgust,fear,sadness,,
banishment,0,1,0,0,1,1,0,1,0,0,,,,,,,,,,,,,disgust|fear|sadness,,disgust,fear,sadness,,
bankrupt,0,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,fear|sadness,,fear,sadness,,,
bankruptcy,0,1,0,0,1,0,0,1,0,0,,,,,,,,,,,,,disgust|sadness,,disgust,sadness,,,
banquet,1,0,0,1,0,0,1,0,0,0,,,,,,,,,,,,,anticipation|joy,,anticipation,joy,,,
banshee,0,1,1,0,1,1,0,1,0,0,,,,,,,,,,,,,anger|disgust|fear|sadness,,anger,disgust,fear,sadness,
barb,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,anger,,anger,,,,
barbarian,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,disgust,,disgust,,,,
barbaric,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,disgust,,disgust,,,,
barf,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,disgust,,disgust,,,,
bargain,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
bark,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,anger,,anger,,,,
barren,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,sadness,,sadness,,,,
bastard,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,disgust,,disgust,,,,
batter,0,1,1,0,0,1,0,0,0,0,,,,,,,,,,,,,anger|fear,,anger,fear,,,
battered,0,1,1,0,0,1,0,0,0,0,,,,,,,,,,,,,anger|fear,,anger,fear,,,
battle,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,anger,,anger,,,,
battlefield,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,fear,,fear,,,,
bayonet,0,1,1,0,0,1,0,0,0,0,,,,,,,,,,,,,anger|fear,,anger,fear,,,
beam,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,joy,,joy,,,,
beaming,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,joy,,joy,,,,
beast,0,1,1,0,0,1,0,0,0,0,,,,,,,,,,,,,anger|fear,,anger,fear,,,
beastly,0,1,1,0,1,1,0,0,0,0,,,,,,,,,,,,,disgust|anger|fear,,disgust,anger,fear,,
